,article_title,abstract
109,Identification of Fraud Apps Using Sentiment Analysis Techniques,"Considering that applications security is an important aspect, especially nowadays with the increase in technology and the number of fraudsters. It should be noted that determining the security of an application is a difficult task, especially since most fraudsters have become skilled and professional at manipulating people and stealing their sensitive data. Therefore, we pay attention to spot insecure apps by analyzing user feedback on Google Play platform using sentiment analysis. As it is known, user reviews reflect their experiments and experiences in addition to their feelings and satisfaction with the application. But unfortunately, not all of these reviews are real, fake reviews do not reflect the sincerity of feelings, so we have been keen in our work to filter the reviews and deliver accurate and correct results. This tool is useful for both users wanting to install an android app and for developers interested in apps optimization."
111,The Impact of Using Blackboard on Students Grades,"The Learning Management System (LMS) is a core system that contributes to support e-learning, managing content, provide learning tools, and facilitate communication between students and teachers. This project aims to measure the impact of Blackboard-based e-learning use. We measure the effect of blackboard use on male students by comparing male and female students degrees of online learning (online class preparation) and traditional (face-to-face) learning at Qassim University, using statistical methods and data mining algorithms. We also develop A supportive tool that helps teachers manage some important tasks such as (student attendance, interaction, grades ... etc.). This tool will take student information and push automatic notifications to all concerned people via SMS."
130,Application for Identifying Students Achievement Prediction Model in Tertiary Education: Learning Strategies for Lifelong Learning,"The purpose of the research is to identify the risk of dropping out in tertiary students with an application. The components of the research goal aim (1) to develop the students achievement prediction model and (2) to construct a prototype application for the predictions of the tertiary students dropping out. The research tools consisted of three parts, (1) tool for developing predictive prototypes uses a tool called the CRISP-DM process with Decision Tree Classification, Feature Selection methods, Confusion Matrix performance, Cross-Validation methods, Accuracy, Precision and Recall measurements, (2) tool for application development used the SDLC with V-method, and (3) tool to assess application satisfaction used questionnaires and statistical analysis. Data sample were collected from 401 students enrolled in the Business Computer Program at the School of Information and Communication Technology, University of Phayao during the academic year 2012-2016. The results showed that the prediction model had a very high percentage of accuracy (82.29%). The prototype test results with the data gathered had a very high score level (84.04%; correct 337 out of 401 training examples). An overview of the underlying application with the utmost integrity by the researchers planned to put the application to the test in the first semester of the academic year 2021 at the School of Information Technology and Communication, University of Phayao. For future research, the researchers plan to create a mobile application for mentors in the University of Phayao to monitor learner on both Android and iOS systems."
320,Network Proximity for Content Discovery,"The paper describes our approach for using wireless sensors on mobile phones for delivering new data to mobile subscribers. We propose a new practical approach for social context-aware data retrieval based on mobile phones as a sensor concept. This approach uses Wi-Fi and Bluetooth modules located on mobile phones as sensors for getting proximity information that can open (discover) access to any user generated content or content published in the social networks. A special mobile service (context-aware browser client for Android) can present that information to mobile subscribers. The potential use-cases for the proposed approach include all projects associated with hyper-local news data. For example, news services in Smart City projects, proximity marketing, indoor data delivery, etc."
485,Sequential Pattern Mining Model to Identify the Most Important or Difficult Learning Topics via Mobile Technologies,"The paper aim is to come up with methodology for performing video learning data history of learners video watching logs, video segments or time series data in accordance with learning processes via mobile technologies. To reach this goal, it is introduced a theoretical method of sequential pattern mining specialized for learning histories in identifying the most important or difficult learning. Based on this method, it is designed a model for understanding and learning the most difficult topics of students topics. The user will be able to use and access the model through mobile technologies when and where he/she wants. The performed video learning history data of learners video watching logs consists of functions that are responsible for collection of stop/replay/backward data activities, generation of sequence from the collected learning histories, extraction of important patterns from a set of sequences, and findings of learners most difficult/important topic from the extracted patterns. The paper mainly describes the model for understanding and learning the most difficult topics through the sequential pattern mining method. Implementing the method to use in mobile phones is considered as future aim."
553,Technology and Innovation in Agriculture: The Azores Case Study,"A growing population world might exceed its food supply in the future. Food availability needs an increasing agricultural productivity and production through technology and innovation. European concerns about innovation policies reflected on the Lisbon Agenda include the European program PROPRURAL+ for the Portuguese Azores Islands. The agricultural innovation in the Azores started with the Green Revolution, which increased agricultural production, using seeds, fertilizers, chemical products and agricultural equipment. But much more innovation is needed for the Azores to became a well-sustained and competitive European region in this economic sector. For example, concerning milk, the region is responsible for more than 30% of the national production. But, since the liberalization in EU imposed by the global markets, a crisis in the sector is installed. Dairy producers are now facing many difficulties in trying to enhance the profitability of their farms, by reducing costs and improving efficiency. A characterization of the Azorean agriculture, emphasizing the milk production sector is presented. The specificities and the potential of the region are discussed and some agricultural innovations with IoT technologies are pointed out.,"
588,A Sentiment Analysis Tool for Determining the Promotional Success of Fashion Images on Instagram,"Sentiment Analysis (SA) or Opinion Mining is the process of analysing natural language texts to detect an emotion or a pattern of emotions towards a certain product to make a decision about that product. SA is a topic of text mining, Natural Language Processing (NLP) and web mining disciplines. Research in SA is currently at its peak given the amount of data generated from social media networks. The concept is that consumers are expressing exactly what they need, want and expect from a product but on the other hand the companies dont have the tools to analyse and understand these feelings to satisfy these consumers accordingly. One of the applications that generate a high rate of reactions and sentiments in social networks is Instagram. This study focuses on analysing the reactions generated by the top 50 fashion houses on Instagram given their top 20 images with the highest number of likes. The approach taken in this study is to qualify the visual aesthetics of fashion images and to establish why some succeed on social media more than others. The basic question asked in this paper is whether there are certain visual aesthetics that appeal more to the user and are therefore more successful on social media than others as determined by a measure we introduce, ‘Social Value. To do so, a sentiment analysis tool is developed to measure the proposed social value of each image. An input of comments from each image will be processed. Each comment will go through a pre-processing phase; each word will be placed through a lexicon to identify if it is positive or negative. The output of the lexicon is a score value assigned to each comment to identify its degree of positivity, negativity, or it has no effect on the social value. Adding to these results, the number of likes and shares would also be taken into consideration quantifying the images value. A cumulative result is then produced to determine the social value of an image.,"
650,Mobile Phishing Websites Detection and Prevention Using Data Mining Techniques," The widespread use of smart phones nowadays makes them vulnerable to phishing. Phishing is the process of trying to steal user information over the Internet by claiming they are a trusted entity and thus access and steal the victim's data(user name, password and credit card details). Consequently, the need for mobile phishing detection system has become an urgent need. And this is what we are attempting to introduce in this paper, where we introduce a system to detect phishing websites on Android phones. That predicts and prevents phishing websites from deceiving users, utilizing data mining techniques to predict whether a website is phishing or not, relying on a set of factors (URL based features, HTML based features and Domain based features). The results shows system effectiveness in predicting phishing websites with 97% as prediction accuracy."
35,Stimuli Generation for Quality-of-Experience Evaluation of Mobile Applications,"The assessment of Quality-of-Experience (QoE) corresponding to a given set of Quality-of-Service (QoS) parameters is of high importance for any mobile network operator. Methods for subjective QoE assessment such as MUlti Stimulus test with Hidden Reference and Anchors (MUSHRA) or Subjective Assessment Methodology for Video Quality (SAMVIQ) are based on collecting user feedback for one or several stimuli, i.e. differently processed versions of a source. Generating these stimuli corresponding to a given set of QoS parameters for a QoE assessment of a mobile application is a time-consuming, non-trivial task. Therefore, in this paper we propose a novel publicly available open-source framework for stimuli generation for QoE assessment of mobile applications. It is based on the combination of network emulation and automatic user-interface control of a real mobile device, whose behavior is recorded and post-processed to generate suitable stimuli. The article presents the basic concept of the framework, describes its open-source implementation, and concludes with an initial evaluation of the framework based on typical types of mobile applications.,"
63,Automated User Experience (UX) Testing for Mobile Application: Strengths and Limitations,"User Experience (UX) evaluation has a significant importance for any interactive application. Mobile device applications have additional limitations to convey good user experiences (UX) due to the usage and features of mobile devices in ubiquitous computing contexts. There are a lot of automated tools available for evaluating, such applications particularly developed for Android and iOS. Automated UX evaluation provides a number of strengths which are able to overcome the limitations of non-automated (moderated) counterparts. Automated UX evaluation is regarded as unexplored field, especially when it is adopted for the UX evaluation of complex mobile application. Despite these, automated UX evaluation tools are unexplored and should only be used in coupling with traditional UX evaluation techniques. Hence, this study aims to discuss the literature in automated UX evaluation and to highlight the UX measurements that merit further investigation. This paper presents the most frequently used automated UX evaluation tools for mobile applications. Therefore, the study analyzes existing automated UX tools and frameworks and identifies which UX attributes and measurements of automated UX evaluation are likely to be of use in future research. Moreover, we discuss the strengths and limitations of automated UX evaluation methods for mobile applications. Finally, the paper provides an overview of automated UX evaluation techniques and tools. It also presents the strengths and limitations for comparing various evaluation methods."
144,Building Operation and Maintenance: A Framework for Simplified Building Information Modeling (BIM) Digital Mobile Application,"Managing maintenance cost data is one of the issues due to difficulties in identifying the accurate cost for maintenance and repair of specific components. This is because of the accounting systems used by majority of building managers. The introduction of Building Information Modeling (BIM) as a tool for facilitating information and knowledge sharing through digital representation of the physical and functional characteristics of a facility has seen wide application in the construction industry, spanning over the entire life cycle of a facility, i.e., planning, design, pre-construction, construction and post-construction. In post-construction stage, BIM is used for transferring the data of building (spaces, systems and components) into maintenance management operations, keeping track of building assets, and enable scheduled maintenance and provides information of building maintenance history. However, the current BIM rather complex and requires a huge amount of data to develop, which make the system is difficult to adopt for the existing buildings. This study therefore aims to investigate the implementation of BIM for Operation and Maintenance Management (O&M) in Malaysia by identifying the information that should be prioritized to enable BIM mobile application at O&M phase. The study makes used of qualitative methods of data collection and analysis. Three (3) rounds of expert discussion using Delphi techniques were carried out with 10 to 15 selected respondents (experts in O&M and BIM). The framework validated by a case study via on-site data collection, which used site measurement, building modelling using appropriate software i.e., Revit and AutoCAD. Most of the experts agreed that technology could improve the efficiency of service delivery and interested in implementing BIM in O&M practices. Simplified BIM for O&M that consists of the critical information includes location, dimension asset information, asset capacity, specification, manufacturer, statutory, condition and cost was developed. For the O&M element and items, information varies and can be modified according to the needs. All this information was systematically organized in a data matrix. A simplified BIM model has been developed to demonstrate how the information is stored, shared, and utilised. Majority of the stakeholders agreed that the Simplified BIM system is useful, flexible, least complex, and effective in managing and monitoring maintenance operations of their building."
151,Development and Expert Review of iZakat Kedah Mobile Application,"Zakat is a mandatory practice in Islam. The purpose of zakat is to help the society, share the endless boons of Allah and assists the unfortunate people to have a better quality of life. The concept of Zakat is to purify the Muslim wealth and soul. Calculation of Zakat is based on the total savings of a Muslim during one lunar (Islamic) year. Even though, paying Zakat is compulsory for all Muslims however, the knowledge of zakat and the calculation of zakat is still insufficiently explored by the Muslims themselves. Based on the initial study that has been carried out, most of the Muslims still blur and confuse in understanding the concept of zakat and the calculation of zakat. Therefore, iZakat Kedah mobile application has been developed to provides understanding of the zakat income and the calculation of zakat. Thus, this paper focuses on the development of iZakat Kedah mobile application which has been carried out through comparative analysis study and the evaluation of the proposed application through expert review method. Findings of the study indicates that most of the experts agreed that the iZakat Kedah mobile application provides useful knowledge in terms of zakat information and zakat calculation to the public particularly for Muslims."
264,Developing a Mobile Application via Bluetooth Wireless Technology for Enhancing Communication,"This paper presents Mobile application via Bluetooth wireless technology (MAvBT) that enhance the student portal in universities by connecting students' mobile phone devices to a server application that benefit from the devices Bluetooth technology and the storage abilities. MAvBT enables students to retrieve their information with minimum time and anywhere ranging from 100m up to 1Km and it facilitate the communication with instructors outside the office hours. This system consists of computer application (Server Application) installed on a Bluetooth enabled computer, Mobile application (client application) installed on studentsâ?? mobile phone devices, and a website that enable the instructors to edit their materials or enable the demonstrator to get some important reports. Experimental results show that the proposed system is faster, effortless, and cheaper."
393,Information and Mobile Technologies for Promoting Maternal-Child Health Care Status in Rural Areas of Jordan,"Rural communities in developing countries, due to its geographical and demographic conditions, are faced with many challenges. One of the most pressing challenges which affect the life and welfare of citizens in these communities are health awareness and health services. It is essential to research efficient and cost effective methods to tackle these challenges and be appropriate for developing countries with limited resources. In this paper, we report our findings from implementing a number of ICT interventions to promote maternal-child health care status in rural areas of Jordan. Collected feedback demonstrates the benefits of such system in supporting government activities."
397,A Mobile Shared Workspace Supporting Healthcare Task Cooperative Planning,"In a health care environment, in which task planning process is fundamentally a collaborative task that requires the participation of many health care professionals with different skills working simultaneously on same cases. However, most recent healthcare research has focused on methods mainly based on communication, rather than collaboration supports. We followed then a CSCW-based planning approach which constitutes an evolution of planning environments toward new shared workspaces supporting collaboration. Our work led us first, to analyse the related tasks in an Algerian maternity ward in order to highlight the vital collaborative medical tasks that need to be modelled. The following sections outline basic design concepts of our mobile collaborative planning system, which is designed to provide a flexible group interaction support for care coordination and continuity."
402,Mobile Support in CSCW Applications and Groupware Development Frameworks,"Computer Supported Cooperative Work (CSCW) is an established subset of the field of Human Computer Interaction that deals with the how people use computing technology to enhance group interaction and collaboration. Mobile CSCW has emerged as a result of the progression from personal desktop computing to the mobile device platforms that are ubiquitous today.CSCW aims to not only connect people and facilitate communication through using computers; it aims to provide conceptual models coupled with technology to manage, mediate, and assist collaborative processes. Mobile CSCW research looks to fulfil these aims through the adoption of mobile technology and consideration for the mobile user. Facilitating collaboration using mobile devices brings new challenges. Some of these challenges are inherent to the nature of the device hardware, while others focus on the understanding of how to engineer software to maximize effectiveness for the end-users. This paper reviews seminal and state-of-the-art cooperative software applications and development frameworks, and their support for mobile devices."
422,The Pianist: Musical Mobile Application,"In this paper, the process of developing a musicalmobile application has been described. The main motivation for this product is to support Samsung BADA apps market. We have developed this product based on two perspectives: educational and entertainment. The product can teach users how to play piano and at the same time, they can use it for fun, i.e., just to play piano like a real piano instrument. Firstly, we have studied and analysed the similar current products to know and understand the main functions of such product. Later we used prototype methodology, the final product generated after 8 prototypes. As a conclusion, this product (The Pianist) introducing a smart phone as a musical instrument which can be used for learning and playing piano."
434,Mobile Media: Towards a Definition and Taxonomy of Contents and Applications,"The paper is grounded in the idea that a theory of mobile media, like that of any other scientific discourse, must be built on solid conceptual and taxonomical bases. Within this context the paper brings together previous fragmented approaches to studying mobile media, analyses them, and develops a set of definitions and classifications of contents and applications in order to consolidate the construction of a robust mobile media theory. The paper finishes with a reflection on the ongoing mutations of this field and their implications, suggesting that scholars need to rethink the basic concepts behind their theories."
451,An Accessible Keyboard for Android Devices as a Means for Promoting Braille Literacy,BrailleOne is a mobile application designed to provide blind and visually-impaired Braille readers with an accessible keyboard for manual text input on their Android smartphones or tablets. Its purpose is to make use of adolescents and young adults excitement for technology in order to facilitate Braille learning and daily practice. The results of a pilot evaluation study suggest that BrailleOne could contribute to the overcoming of accessibility barriers in the field of text entry.
458,Public Sender Score System (S3) by ESPs for Email Spam Mitigation with Score Management in Mobile Application,"Many businesses use email as a medium for advertising and they use emails to communicate with their customers. In the email world, the most common issue that remains unresolved even now is spamming or in other terms unsolicited bulk email. Currently, there is no common way to regulate the practices of an email sender. This proposed system is to formulate a protocol common for all the ESPs or inbox providers and a centralized system that will easily find the spammers and block them. By this method, the Email Service Providers (ESPs) or Inbox Providers need not wait for the sender behaviour and then take actions on the sender or sender domain or sender IP address. Instead, they can get the sender history of reputation from blockchain where the ESPs or Inbox Provider provides a score based on the emails they have received from the sender. The ESPs can get the Public Sender Score(S3) from the mobile application or web application which provides the score management user interface and APIs. The email marketers can also monitor their score through the application."
461,The Development of Mobile Culinary Recommendation System Based on Group Decision Support System,"Mobile based culinary recommendation system has received significant attention in recent mobile application research . Technique for Order of Preference by Similarity to Ideal Solution (TOPSIS) has regained popularity in supporting multi-criteria decision making due to this method allowing inclusion of many factors and criteria into the decision making process. Previous works on mobile based scenario culinary recommendation system reveal that TOPSIS stand out from other recommendation approaches like AHP and Fuzzy by providing a lightweight computation algorithm that have promising performance in time complexity. However, computing a culinary recommendation using TOPSIS has own limitations especially in the menu judgment processes due to the alternatives priority only include personal preferences for recommendation. In such a culinary recommendation system scenario, users more likely search culinary menus in group instead of alone. This research aims to develop a culinary recommendation system based on group decision support system (GDSS) using TOPSIS that possible to calculate a recommendation by using group preferences instead of personal preferences. The experimental results show that the overall functional of proposed GDSS gives better recommendation result. GDSS using TOPSIS have 100% rank consistency for 6 group of users with 5 combination of menus. The accuracy testing shows that 83,33 % recommendation of GDSS TOPSIS are match with real user preferences. Furthermore, it can be run well in various type of Android smartphone."
496,Fraud Crime Mitigation of Mobile Application Users for Online Transportation,"Online transport service is currently popular in Indonesia. Not only provide ride-sharing service, but also other services such as food delivery, medicine delivery, and courier service. Ease of use and low cost make online transportation service more favored by consumers. However, this service has several disadvantages that cause inconvenience to the user until the occurrence of fraud action by the driver or the customer. Therefore identification of system deficiencies needs to be done to improve the security and convenience of customer and drivers of online transport services. This paper will analyze the problems of online transportation services applications through cases that have occurred and complaints of users of online transport applications. Through this analysis, we propose solutions to protect consumers and drivers for the security of transactions."
506,Managing Emotional Requirements in a Context-Aware Mobile Application for Tourists,"The objective of this study was to unveil the importance of emotions and feelings in developing mobile-based tourism applications. We gathered and analyzed emotional requirements to develop a mobile context-aware application for tourists. Emotional requirements are non-functional requirements affecting users emotional experiences around using applications, which are important for sustainable application usage. Many tourism applications exist, but were designed without considering emotional requirements or related UX factors and emotions. We developed a proof-of-concept prototype service-based context-aware tourism application (SCATA), and users participated in the design and evaluation processes. Emotional requirements are key to sustainable usage, especially regarding security. This paper details the application design and evaluation processes, emotional requirements analysis in each design phase, and the emotional effects of content accessibility in the applications offline mode in unknown environments. The results show that trust, security, adjustability, and reliability are important factors to users, especially in unknown environments.,"
510,"Investigating the Moderating Effects of Self-Efficacy, Age and Gender in the Context of Nursing Mobile Decision Support Systems Adoption: A Developing Country Perspective","Health professionals are increasingly using and relying on mobile applications to support their decisions in Jordan. Nursing staff have the opportunity to use a wide variety of already existed mobile applications to support their tasks when providing health services to both inpatients and outpatients.This study attempted to investigate the key factors that affect adoption of mobile applications that support nursing staff health decision making in Jordan. These key factors include perceived usefulness, perceived ease of use, subjective norms, job relevance, perceptions of external control. In addition, this study intended to investigate the moderating effect of self-efficacy, age and gender.,The study validated the proposed model using data collected from 241 nursing staff in three public and private hospitals in Jordan. Results show that perceived usefulness and perceived ease of use are the most important factors in determining individuals behavioral intention to adopt the mobile application in their decision support processes."
518,A Comparison Between AHP and Hybrid AHP for Mobile Based Culinary Recommendation System,"Mobile based culinary recommendation system has become critical topic in mobile application. Some methods presented in the literature propose the use of the AHP (Analytic Hierarchy Process), AHP TOPSIS (Technique for Order of Preference by Similarity to Ideal Solution) and fuzzy AHP for mobile based culinary recommendation system. However, there are no comparative studies of these three methods when applied to mobile based culinary recommendation system. Thus, this research presents a comparative analysis of these three methods in the context of culinary recommendation system in mobile environment. The comparison was made based on accuracy and time complexity because mobile application environment needs low time complexity. The results have shown that all of these methods are suitable for culinary recommendation system in mobile environment. Fuzzy AHP have the highest accuracy between all of these methods, it have 66,67 % accuracy. But, AHP TOPSIS shows the best performance in time complexity, with order of growth in quadratic class (n2)"
520,CAPTURE: A Mobile Based Indoor Positioning System using Wireless Indoor Positioning System,"The existence of mobile devices as a location pointing device using Global Positioning System (GPS) is a very common thing nowadays. The use of GPS as a tool to determine the location of course has a shortage when used indoors. Therefore, the used of indoor location-based services in a room that leverages the use of Access Point (AP) is very important. By using the information of the Received Signal Strength (RSS) obtained from AP, then the location of the device can be determined without the need to use GPS. This technique is called the location fingerprint technique using the characteristics of received RSSs fingerprint, then use it to determine the position. To get a more accurate position then authors used the K-Nearest Neighbor (KNN) method. KNN will use some of the data that obtained from some AP to assist in positioning the device. This solution of course would be able to determine the position of the devices in a storied building."
547,A Methodology to Develop a Mobile Application Model to Appraise Housing Design Quality,"The variety of planning and design solutions occasionally turns into an underpinning factor for the defects and maintenance issues in built forms. Defects and maintenance that emerges from deficient design indicate that the design has not been conceded in the perception of quality. Reviewing the nature of deficient designs and resulting maintenance problems in various types of built forms revealed that housing sector is most effective of this phenomenon. The reason could be set as; housing planning, design, and construction are a most practiced activity to address the living needs of the ever-growing world population. This research considered that design quality of housing is severely affected in developing countries. In this regard housing standards and bylaws plays a minor role to ensure the housing quality in developing regions. However, it is notable that, in developing regions, the majority of populations have easy access to mobile communication technology. Therefore, it is possible to use mobile technology to educate the people about quality issues of housing and to help them to evaluate the quality of proposed or existing housing.   At present, the use of mobile technology has not only heightened the need for IT knowledge but also extend the capabilities of many designers/architects and builders. Hence, there is a niche to develop an integrated hub that could appraise the function of each professional involved in housing processes. This research has established a criterion that, the mobile technology can help common people to understand the quality of house/housing and to ascertain it. The results of the research have surfaced a model of mobile application that could be used later to prepare the real-time mobile application to work as a “design quality assessment tool.”,"
563,Context Management for Supporting Context-aware Android Applications Development,"Building context-aware mobile applications is one of the most ambitious areas of research. Such applications can change their behavior according to context or perform specific tasks in specific contexts. Regardless of the application, all context-aware mobile applications share the need to retrieve and process context information. This paper presents a Context Management tool for the Android platform (ACM). ACM allows easy access to internal on-board mobile sensors and hardware features extracting corresponding raw data. Raw context is processed into higher-level more human-readable context that is provided seamlessly to the mobile applications. Different methods are used for this purpose including fuzzy classifiers. Since different mobiles have different sensors and hardware features, ACM can adapt to the mobile device by deactivating access to unavailable ones. Information regarding the available sensors and hardware features and their specifications can also be queried. Additionally, applications can request notifications regarding context change or specific context values. In addition to providing developers with supporting classes and methods, ACM is accompanied by an application that allows developers to examine its functionality and capabilities before using it. The application can be also used to examine the readings of the different sensors in different situations and thus calibrate them as needed. Additionally, it can be used to modify and personalize default interpretations of raw context values to high-level ones. ACM has been tested empirically and the results show extreme interest of context-aware mobile application developers in its promising capabilities and that it is conducive to facilitating, speeding up and triggering development of many more of such applications.,"
564,Cloud-based Context-aware Mobile Intelligent Tutoring System of Technical Computer Skills,"In spite of the ultimate importance of procedural technical skills for most disciplines, there is shortage in the number of corresponding Intelligent Tutoring Systems (ITSs). This paper proposes a cloud-based context-aware mobile ITS of Technical computer Skills (TS-ITS). TITS is developed as a mobile application to be ubiquitously providing a valuable learning tool. Due to the nature of technical skills, they require more complex ITSs relative to typical ones requiring, for example demonstration videos that need considerable storage space. Accordingly, TS-ITS is developed using mobile cloud computing to benefit from the cloud resources and make up for limited mobile resources. On the other hand, effective multiple choice, true and false and short-answer questions can be delivered to the mobile. This also has the advantage of facilitating maintenance of the data stores on the cloud. TS-ITS is context-aware delivering training material relevant to the topic the student is studying, the skill the student is trying to acquire or the task the student is trying to accomplish. Each skill is accompanied by a short demonstration video and to facilitate searching for a relevant one, keyword search is adopted. Personalized questions are delivered based on the skills of interest and the assessed student knowledge. TS-ITS can be adopted to other domains and extended to include advanced types of training material such as Virtual reality (VR) immersive environments and interactive questions as they become available. Empirical evaluation of a prototype implementation of TS-ITS shows its tutoring effectiveness"
567,Innovative E-Therapy Service in Higher Education: Mobile Application Design,"Cyber counselling or e-therapy has widely been adopted as the new approach to give an insightful guidance into the clients. In higher education (HE) level, this initiative seems to have rarely been involved due to some technical requirements and preparations. This paper aims to present the approach of e-therapy using mobile application design. The finding illustrates that promoting this model application can theoretically assist the transmission process of counselling in the academic circumstance where both students and advisors may have a continuous engagement with more convenient quality in solving the issues surrounding the academic purposes. The attainment of this paper is expected to contribute in enabling the process of academic counselling in the context of higher education (HE). Strengthening practical and relational value maintaining connection to facilitate the sensitive issues disclosure is expected to help students solve their academic issues, such as reflecting the learning achievement.,"
571,Pharmacy Assistant Mobile Application (PAMA): Development and Reviews,"Nowadays, pharmaceutical mobile applications are widely used. Several features and functionality play an important role to support the real needs of users especially in primary medication. Users behaviors in the modern world have changed where users may prefer to access drug information using search engines via the Internet rather than consulting with professionals like pharmacists, doctors or experts. However, the drug information that users retrieve from the internet sources may provide inaccurate, incomplete or unreliable information.The questions are: can we decrease this phenomenon? Suppose that we are applying an application to a content provider, which application functionalities are suitable for users and support their real needs? Can the application encourage users to gather drug information via the application instead of searching via the internet sites? The proposed study aimed to develop a Pharmacy Assistant Mobile Application (PAMA) based on necessarily required features and functionalities which are designed and operate on the iOS operation system. The application performance has been tested and measured regarding the graphic user interface and the system acceptance level.The experimental results have been reviewed and an issue has been found which needs to be considered as an important factor when developing a healthcare mobile application for the real uses.,"
607,VOISEE COMMUNICATOR: An Android Mobile Application for Hearing-impaired and Blind Communications,"Voisee Communicator is an android type mobile messaging application designed and developed for the thorough communication between two disabled people most especially the hearing-impaired and blind people. With stable and smart Eclipse IDE and the availability of different built-in libraries in java especially the tts.speech.SpeechToText and tts.speech.RecognizerIntent has been taken advantage to create custom voice command functionalities.,Creating, replying, sending and forwarding messages are among the primary and fundamental features that this study has to offer. The researchers analyzed the results of the test survey and evaluation form and proved that the application is a user friendly, efficient and accurate in delivering messages to the recipient and has the important features that the users expected."
612,Usage of Smartphone Applications: A Descriptive Study of Top 100 U.S. Retailers,"The study investigated how top 100 U.S. retailers use their smartphone applications. Based on the literature, the study found five major functions of smartphone applications: content delivery, transaction, promotion, location service, and entertainment. Descriptive and frequency analyses revealed actual usage of the five functions among the top 100 U.S. retailers. Detailed implications for marketers were discussed based on the findings."
622,Branded Apps in Spain as a Means of Communicating Trends in Fashion,"Apps are of great interest and curiosity for the users of mobile phones, being already highly unloaded and used for the users of smartphones.The fashion mobile applications represent only a fraction of the mobile global applications (almost 0,2 %), nevertheless they are starting to deserve special attention from designers and researchers in this area. Brands want to know about the new trends in the market to be able to continue surprising and impressing their public. In this study, we seek to identify the most relevant aspects of the applications that help to improve the image of the Spanish prêt-à-porter fashion brands such as Zara, Pull and Bear, Stradivarius, Shana, Bimba y Lola,...  The study considers the position in the ranking of downloads, the category, the opinions, valuations of the users and the criteria described by Jami Lawrence (2010): amusement, saving of time and / or comfort in the use.Findings:In this analysis, we seek to identify the most relevant aspects of the applications that help to improve the image of the brand, in this particular case of the Spanish prêt-à-porter fashion brands.  - It is indispensable that the applications entertain the user, save time and / or comfort, we have observed that they are these characteristics those that are valued by the users.- Another factor that is valued in the applications, is that the application should make sense for the user and to have an added value that doesn't necessarily have to be related with the nature of the brand. - But it is important that applications to be developed have to be coherent with the identity of the brand. As in any other area, the appearance of new mass media, like the mobile, is the introduction of new challenges. –Finally, it is important for the brand to adapt constantly to the new technologies, but we must not forget that a precarious incorporation and badly developed app it can be more harmful than beneficial."
676,Mobile Application Development of Managing Elderly Household Accounts Using Speech Recognition,"Using spoken language is the easiest and most natural way of communication for human beings. The communication between humans and machines using sounds or language is a huge move forward. This article demonstrates the development of a mobile application for managing household accounts with the integration of a speaking voice and touch-screen function on smartphones; this could also be used as a tool to manage household accounts for elderly Thai people. The content was evaluated by five experts to identify each feature of the developed mobile application. Afterwards, the developed mobile application was distributed to thirty-three elderly people. The findings showed that the elderly people were able to learn and use the mobile application effectively. The learning post-test results scored higher than the pre-test results. The effectiveness evaluation results in terms of the accessibility barriers that can be faced by elderly people while using mobile applications showed that the average mean was 4.13 and the standard deviation was 0.36 and the acceptance of the mobile application based on accessibility barriers that could be detected by elderly people while being used has high consensus. This indicates that the developed mobile application is effective for elderly users at a high level."
686,Collaborative Cassava-Chip Supply Chain Mobile Application in Thailand,"Cassava-chip is considered one of Thailands most important economic crops and Thailand is the worlds largest cassava products exporter. Thai government is prioritizing the cassava production in their “Mega farm” strategy in support of agricultural economic and collaboration between farmer, public and private sectors. The collaborative model is an integrated supply chain that manages the multiple stakeholders. Moreover, implementing the collaborative supply chain (CSC) has improve overall performance of the entire supply chain. The study aims to review existing literature on collaborative model and critical success factors in the agriculture supply chain context during 2008-2018 and the 20-year agriculture and cooperatives strategy (2017-2036). The six key collaborative success factors are identified: Business Management, Information Technology, Value Added Process, SC Relationship, Top Management Commitment, Partnership, Service Quality, Process, Resource Capability, Environment Uncertainties, Customer Satisfaction. The hypothesis will be tested by the linear regression analysis and develop the prototype of CSC mobile application to create the collaboration in cassava chip industry. Then, the result will be embedded into mobile application. The application will later be used to provide more appropriate third-party system to enhance the collaborative cassava chip supply chain in Thailand. The result shows that all components are supported by the hypothesis and user acceptance test."
