,article_title,keywords,publishing_date,abstract
1039,design and implementation of a smart traffic light management system controlled wirelessly by arduino,",significantly, increased car accidents, pollution, economic problems, stls, ir sensor",2020-05-06,"in iraq, the number of people who own vehicles has grown up significantly. however, this increment in vehicles number doesnt accomplished by a study of roads and intersections expansion. as a result, traffic jams became a big problem that led to long waiting time at each intersection, increased car accidents, pollution, and economic problems. to solve this problem a smart traffic light system (stls) has been implemented using arduino, camera, ir sensor to overcome traffic jams problems in kut city – iraq.,"
1040,mobile based sharing class presentation display management,",mobile learning, presentation display management, socket programming, web technologies",2020-05-06,"in this paper, we present an application that helps the teachers in identifying slow learners in a class; similarly, the system will help slow learners cope up with their fast learner peers. specifically, we evaluated the development of the mobile-based sharing presentation display management to assist the teachers in identifying students that dont understand the topic during lectures. furthermore, the system automatically collects the students attendance, allows the learners to interact with each other, learners can ask questions through a messaging facility, while anonymous to their classmates they can inform the teacher to discuss the topic further presented in the current slide or to give them some time to process the item. developed using open source technologies, the system can run on multiple platforms, including android and windows. few issues arise during the testing; however, findings revealed that both students and teacher perceive the use of the system positively, and they find it very advantageous to improve their performance in the class."
1041,perceptions of immerseme virtual reality platform to improve english  communicative skills in higher education,",efl, english, educational innovation, immersion, learning, virtual reality",2020-05-06,"the main objective of this project was to evaluate the impact of the application of the virtual reality platform immerseme as an empowering and innovative tool for learning english in a private university, as well as evaluating its possible future implementation in a private university in medellín. it was applied in speaking activities to measure and evaluate the level of speaking of students from levels 1 to 3, as a pilot test for the use of immersive virtual reality within the thematic units currently designed from the department of foreign languages and cultures. the findings of the study showed that an immersive vr platform like this one is ideal to enhance the different skills of english as a foreign language (efl) from an immersive focus considering different contexts and thinking of the development of communicative skills and interaction with native speakers in higher education. the recommendations given are for teachers and students participation and motivation for its implementation contemplating the cost and the multiple advantages of immersing students in a second language virtual environment."
1042,development of learning media based on android games for children with attention deficit hyperactivity disorder,",learning media, adhd, christian education",2020-04-17,"this is a learning media with the scope of adhd (attention deficit hyperactivity disorder) for children of age 7 – 8 years. the study aims is to education learning media for children with adhd with existing games. the dick and carey instructional model   that has been used is a model of development engaging steps of procedural approaches. the achieved results are going to be used to design a teaching and learning media through the bible warrior adventure games. this research brings out teaching material products that can be accessed by android application. by using this learning media, the sunday school children with adhd will be able to learn christian education easily through android. the results of the field trial found the fact that after testing the use of instructional media was able to facilitate and increase the knowledge and competence of children with special needs adhd and can create effective learning, and motivate students in learning.,"
1043,the use of ar-assisted storybook to reduce mathematical anxiety on elementary school students,",anxiety, augmented reality, elementary school, mathematics learning, story-books.,",2020-04-17,"mathematics is essential to be mastered by students because it can help students to solve various problems in daily life. students are anxious and afraid to take mathematics lessons. augmented reality (ar)-assisted storybook blends fantasy and reality and is developed to see the impact on students 'mathematics anxiety. this study aims to determine the effectiveness of ar-assisted storybooks on students' anxiety in mathematics learning. this study uses a quantitative approach with the type of research quasi-experiment and with the design of the pretest-posttest control group design. the study sample includes 348 fourth grade students in elementary school in yogyakarta. the sampling technique used is the cluster random sampling technique. independent t-test techniques analyzed data. the results showed that the sig value 2-tailed in the independent t-test was 0.00 (<0.05). thus, it can be stated that ar-assisted storybook has a positive and significant effect on students' mathematics learning anxiety."
1044,development of learning management system-based blended learning model using claroline in higher education,",learning management system, blended learning, claroline, motivation",2020-04-17,"learning management system (lms) is a learning process that utilizes computer information technology equipped with internet and multimedia telecommunications facilities (graphics, audio, video) in delivering material and interaction between instructors and learners. the purpose of this study is to develop blended learning using claroline as a learning tool that facilitates students in learning. to achieve the objective of the study the research uses a quantitative approach to collect data using pre and post tests and questionnaires. the sample in the study were students of economic islamic consisting of two classes, with a total of 50 students enrolled in this study. the results show that the difference in the average pre-test and post-test score was -29.43720. while the t-test that tests ho: pre-test = post-test gives a value of t = -37.43720 with a degree of freedom of 49. while the p-value for the two-sided test of 0,000 is smaller than α = 0.05. this data approves that the statistical hypothesis ho: pre-test = post-test is rejected, meaning that the average pre-test and post-test scores are significantly different. the findings of this study can be used to recommend effective ways of learning and teaching using e-learning that can improve student learning outcomes in higher education. the implications of this research is to encourage teachers to use e-learning technology and facilitate students with the technology in improving academic learning outcomes.,"
1045,design and implementation of an e-learning platform using n-tier architecture,",mohesr, n-tier, ado. net, ui, bll, dal, sp, addie.,",2020-04-17,"any educational institution aimed at developing towards e-learning and creating a more interactive environment and use in all fields of governmental institutions. the ministry of higher education and scientific research (mohesr) of iraq and some of the countries in the middle east suffer from weak use of information technology in general and weak use of e-learning in particular. therefore, iraqi mohesr is in dire need of an electronic educational system that solves most of the problems experienced by most educational institutions.in this paper, we will develop a strategic plan to build an e-learning platform that provides an interactive environment between teachers and students in iraqi universities and offers many advantages to overcome some problems in the use of traditional old education. this work is related to the use of multi-layered architecture to build the e-learning platform (standard design of e-learning platform for iraqimohesr). the advantage of these layers is that each layer is created in the asp.net program using n-tier architecture that has functions that are independent of the rest of the layers which are(user interface(ui), business access layer(bal),data accesslayer(dal), database(db)). a particular object will not affect the rest of the layers or the performance of these layers. ,"
1046,applying concept map to game-base concept assessment,",concept assessment, concept game assessment, sprt, concept mastery.,",2020-04-17,"there have been lots of studies using traditional concept assessment to measure students learning achievement. this study adding game elements in concept assessment try to measure students learning achievement, and compare this result with traditional concept assessment to see whats the difference between traditional concept assessment and adding game element in concept assessment.     traditional concept assessment using sprt method in multiple-choice to measure students concept mastery, our study using the same method and present this method in concept game so that student wont feel boring and tiring during this assessment. our study observe each students feedback and their concept mastery by using game element to display concept assessment, and analyze is using concept game assessment can shorten students test time and improve student learning concept knowledge after assessment, the result shows that when student using concept game assessment they can know their concept mastery immediately by seeing process bar present as their life so the test time will be shorten, and students concept knowledge was improved after concept game assessment. students feedback shows that they prefer concept game assessment because they can measure their concept mastery during the concept game assessment; this study shows that adding game element in concept assessment can improve students concept mastery and shorten the test time student took."
1047,multimedia learning modules (mlms) based on local wisdom  in physics learning to improve student diagram representations in realizing the nature of science,",diagrams, test instruments, local wisdom, multimedia learning modules, representations",2020-04-17,"this research was conducted to determine the feasibility of the instrument diagram representation test and the effectiveness of multimedia learning modules (mlms) integrated local wisdom in physics learning activities. the study design used a pretest-posttest control group design. the research instrument consisted of tests and non tests. the test instrument was in the form of five items arranged according to the diagram representation indicators, namely drawing diagrams and their components and performing mathematical calculations according to the diagram explanation. non-test instrument is a questionnaire study of test instruments. the validation of the test instrument was carried out using aiken's v. data analysis techniques used the general linear model (glm) with a significance level of 0.05 to test the effectiveness of integrated local wisdom mlms in improving student diagram representation. the results showed that the overall item items were declared valid with aiken's v score in the range of 0.88 to 0.92 and the integrated local wisdom mlms were effectively used in physics learning activities to improve student diagram representation based on mean difference (md) values of -54,449."
1048,an integrated conceptual model for m-government acceptance in developing countries: the case study of jordan,",m-government, e-government, technology acceptance, success factors, mobile network",2020-04-17,"mobile information and communication technology changed how people and businesses can benefit from government public services at any time and from anyplace. the success or failure of mobile government services is becoming more dependent on satisfying the needs and the expectations of both citizens and business organizations. this paper reviews and analyses some existing empirical studies that examine m-government acceptance in some developing countries. then, a new integrated conceptual model for examining some important key factors that may affect m-government acceptance in jordan from user perspective was proposed.  an empirical test was conducted using a questionnaire to explore the effect of the following factors: trust in mobile channel, trust in government, perceived usefulness, perceived ease of use, relative advantage, compatibility, complexity, service quality and user satisfaction on the behavioural intention to use m-government applications. finally, justification of the proposed integrated model and formulation of the associated hypotheses was conducted."
1049,dsdv extension to enhance the performance of ad hoc networks in high diverse-velocity environments,",manet, dsdv, i-dsdv, e-dsdv, o-dsdv, simulation, network performance, ns3",2020-04-17,"mobile ad-hoc networks (manets) are characterized as decentralized control networks. the mobile nodes route and forward data based on their routing information without the need for routing devices. in this type of networks, nodes move in an unstructured environment where some nodes are still fixed, others are moving in a constant velocity, and others move with diverse velocities; and thus, they need special protocols to keep track of network changes and velocity changes among the nodes. destination sequenced distance-vector (dsdv) routing protocol is one of the most popular proactive routing protocols for wireless networks. this protocol has a good performance in general, but with high speed nodes and congested networks its performance degrades quickly.in this paper we propose an extension to the dsdv (we call it diverse-velocity dsdv) to address this problem. the main idea is to modify the protocol to include node speed, determine update intervals and the duration of settling time. to evaluate the performance of the new protocol, we have carried a number of simulation scenarios using the network simulator tool (ns-3) and measured relevant parameters such as: packet delivery ratio, throughput, end-to-end delay, and routing overhead. we have compared our results with the original dsdv and some of its new variants. the new protocol has demonstrated a noticeable improvement of performance in all scenarios, and the measured performance metrics outperform the others except the average delay where the performance of the new protocol was modest.,"
1050,using modern education technique in wasit university,",higher education, learning management system, information and communication technology, canvas",2020-04-17,"this new learning educational methods, which depending on learning management system (lms), have been used by universities in the top education universities in the world. however, most of the iraqi universities use the traditional education methods in the classroom. the purpose of this study was to examine the benefit of using lms in higher education.  this study shows how to implement and use modern educational techniques in engineering college of wasit university. this paper shows that using modern education tools in the class lead to increase the productivity of student, save time with less effort for instructors with high accuracy of exam results. in addition, using lms system allows students to obtain more information in a short time. moreover, this system gives students an opportunity to interact with the instructor and among themselves. the findings show the benefits of integrating lms in higher education and recommend other institutions to implement it.,"
1051,a systematic review of past decade of mobile learning: what we learned and where to go,",mobile learning, ubiquitous learning environments, pedagogical",2020-04-17,"the increasing growth of mobile technology in our society has become a reality. outdoor learning is one of the very revolutionary developments in modern ages without huge infrastructure and resources. this study is focusing on the area of mobile learning in the year 2009 to 2018 about the areas and working done by the researchers. mobile learning is relatively a new platform of learning through the mobile technologies, and penetration of smartphones and digital devices is globally increased in a short interval of time. the scopus database is used to find the literature with the keyword used in search button mobile learning. the prisma diagram 2009 shows that the subjects of social sciences area to include the literature articles for the review. the final 54 articles   with more than 20 citations for the review are selected to analyze the literature to find the gap and direction of mobile learning. literature is divided in different classifications to find the results."
1052,development of smash skills training model on volleyball based on interactive multimedia,",interactive multimedia, smash skills, volleyball.,",2020-04-17,"smash's skill is a technique that can be done by a person in a hard swooping towards your opponent to produce numbers. interactive multimedia technology is expected to be a guideline for athletes in looking at more variation models of smash. the aim of development research is to produce an interactive multimedia volleyball playing skill training model. the method used in this research is development research design by borg and gall. the approach used in this study is a qualitative and quantitative approach. this study is hoped to improve volleyball skills by looking at the interactive multimedia volleyball playing practice model. this study concludes that interactive multimedia-based volleyball skill playing model can be used in the actual application of exercises.,"
1053,bim-vr framework for building information modelling in engineering education,",bim-vr framework, virtual reality, engineering education",2020-04-17,"with the advancement of information technology, building information modeling (bim) is evolving fast and play an essential role in architecture, engineering, construction, owner and operators (aecoo) industry. universities play an important role in the current bim transition in construction projects as well as to embrace industry 4.0. in this research, immersive virtual reality (vr) in bim offer a unique, supportive environment for the user experience in visualizing and collecting data from the model. with virtual reality (vr), engineering education has a major breakthrough. immersive interactions, stereoscopic 3d, real time multisensory simulations, virtual explorations, synchronous communications, data analytics and visual analysis – all these are impossible without vr. vr offers a student-centred learning environment that promotes active and collaborative learning, situated within simulated real-world contexts."
1054,a systematic review of e-service learning in higher education,",e-service-learning, online service learning, technology integration",2020-04-17,"e-service learning is a service-learning course when the instruction and/or the service occurs online gains popularity among educators as we are transitioning to online learning platforms. the current study presents a systematic review of papers on the research involved information and communications technology (ict) in the service-learning project. studies have noted the growing use of ict in service-learning projects for various purposes such as for communication and collaboration, data collection, reflection, and instruction delivery. however, very little research analysed students engagement in this e-service learning environment. future research should be done to investigate an effective application of technology in service-learning courses, especially to attain the attention of digital natives nowadays and engaging learners instead of merely using technologies in service-learning courses.,"
1055,the usage of mobile learning: comparative studies among technical and vocational education students in selected universities,",technical and vocational education (tve), mobile learning (ml), upsi, uthm.,",2020-04-07,"this research is conducted mainly to examine the difference among technical and vocational education (tve) students at universiti pendidikan sultan idris (upsi) and universiti tun hussein onn malaysia (uthm)on their computer proficiency, knowledge on mobile learning(ml), application preferred, and attitude towards ml. quantitative research method via questionnaire distributed to 618 participants. t-test analysis was used to obtainthe differences among students in both the universities via statistical package for social sciences (spss) version 23.0 for windows. the results showed there was no difference found among these students. hereby, ml is vital for lifelong learning and the access to mobile devices are available for everyone these days. it has made ml to be a tool to learn regardless of time and place among the students today."
1056,a web-based mobile attendance system with facial recognition feature,",mobile attendance, facial recognition, identification, attendance management.,",2020-04-07,"attendance marking in a classroom is one of the methods used to track the students presence in the lecture. the conventional method that is being enforced has shown to be vulnerable, inaccurate and time-consuming especially in a large classroom. it is difficult to identify absentees and proxy attendees based on the conventional attendance marking method. in order to overcome the challenges faced in the conventional method, a web-based mobile attendance system with facial recognition feature is proposed. it incorporated the existing mobile devices with a camera and the face recognition system to allow the attendance system to be used in classrooms automatically and efficiently with minor implementation requirements. the system prototype received positive responses from the volunteers who tested the system to replace the conventional attendance marking."
1057,particle swarm optimization based beamforming in massive mimo systems,",millimeter-wave, beamforming, massive mimo, pso optimization",2020-04-07,"this research puts forth an optimization- based analog beamforming scheme for millimeter-wave (mmwave) massive mimo systems. main aim is to optimize the combination of analog precoder / combiner matrices for the purpose of getting near-optimal performance. codebook-based analog beamforming with transmit precoding and receive combining serves the purpose of compensating the severe attenuation of mmwave signals. the existing and traditional beamforming schemes involve a complex search for the best pair of analog precoder / combiner matrices from predefined codebooks. in this research, we have solved this problem by using particle swarm optimization (pso) to find the best combination of precoder / combiner matrices among all possible pairs with the objective of achieving near-optimal performance with regard to maximum achievable rate. experiments prove the robustness of the proposed approach in comparison to the benchmarks considered.  ,"
1058,load predicting model of mobile cloud computing based on glowworm swarm optimization lstm network,",mobile cloud, lstm network, glowworm swarm optimization algorithm, load forecasting.,",2020-04-07,"focusing on the issue of host load estimating in mobile cloud computing, the long short term memory networks (lstm)is introduced, which is appropriate for the intricate and long-term arrangement information of the cloud condition and a heap determining calculation dependent on glowworm swarm optimization lstm neural system is proposed. specifically, we build a mobile cloud load forecasting model using lstm neural network, and the glowworm swarm optimization algorithm (gso) is used to search for the optimal lstm parameters based on the research and analysis of host load data in the mobile cloud computing data center. finally, the simulation experiments are implemented and similar prediction algorithms are compared. the experimental results show that the prediction algorithms proposed in this paper are in prediction accuracy higher than equivalent prediction algorithms."
1059,makan@local chatok: mobile eatery recommendation system based on local knowledge,",mobile recommender system, local knowledge, gamification",2020-04-07,"this paper discusses a unique business model of eatery recommender system based on local knowledge using mobile platform. the business model is developed to define the business concept of the innovation which is a rural innovation involving multiple entities (locals, eatery owners and users who are searching for eatery). the innovation highlights on local knowledge crowdsourced from the participation of locals through gamification activities included in the mobile app. in achieving the aim, the design science methodology was adapted in this study which consists of 4 phases: (i) awareness of problem, (ii) suggestion, (iii) evaluation, and (iv) conclusion. the proposed business model was developed through a few activities including literature review, comparative study dan preliminary study. then, the study continued with developing a prototype known as makan@local chatok (m@lc) app and evaluated the app in terms of its usability aspects. results from the usability testing concludes that the app is perceived as easy to use. it was also found that the proposed business model has been well-accepted by users. in conclusion, it is hoped that this study will not only demonstrate the potential and impact of mobile eatery recommendation system using local knowledge, but also provide a capstone on business research in the field of tourism industry.,"
1060,usability evaluation of mobile tracking applications: a systematic review,",usability evaluation, mobile device, tracking application, systematic literature review.,",2020-04-07,"in the recent years, mobile is found to be useful since they allow the user to perform more tasks in a mobile context. however, this usefulness come at the expense of the usability of these devices in some contexts. thus, usability becomes an important factor in the adoption of mobile applications (such as mobile tracking applications, mobile health and mobile learning), which are often used by people who have problems when using mobile devices and who have a limited experience of technology. its critical in the mobile domain to ensure the success of mobile applications. despite some studies review usability evaluation, regrettably there are no systematic literature reviews focused on usability evaluation of mobile tracking applications. consequently, in this study, the researchers strive to present the results of a systematic literature review (slr) involving the use of usability evaluation techniques in mobile tracking applications. based on three research questions, the results indicated that, there are three kinds of the mobile tracking applications namely: information tracking, location tracking and information and location tracking. in addition, and regard to the techniques used to evaluate the usability, the experimental study was the regularly used in the selected studies. finally, the results shown that, for characteristics were frequently exploited to measure the usability of mobile tracking application are: effectiveness, efficiency, usefulness and accurate. this study is valuable for the researchers who need to evaluate the usability for any new mobile application through explored the appropriate methods used to evaluation the usability and indicators required for this purpose."
1061,managing digital marketing communication of coffee shop using instagram,",instagram, marketing communication, promotion, digital marketing.,",2020-04-07,"this paper focuses on managing the digital marketing communication of coffee shop using the instagram. the instagram application offer a great advantages such as quick and cheap marketing communication tools, particularly in  promoting the product, disseminating advertisement and brand awareness. previous study highlighted that managing marketing communication via instagram is a strategic tools to inform, persuade and remind consumers about what they offer. however, there is limited number of empirical studies on instagram as a marketing communication tools on how efficiencies of instagram application in managing digital marketing communication strategies to the customers. therefore, this paper will enlighten the issues related to the application of instagram as a marketing tool in the coffee shop business. the content analysis and semi-structured interview has been employed to gain in-depth knowledge from the owner, marketing staffs and marketing consultant who have experiences in managing the digital marketing communication strategy. the findings of the study revealed that instagram application has become an effective marketing communication tools to disseminate the promotional message to the customers in quick way dan cost efficient as compare to the traditional media."
1062,usability evaluation model for mobile visually impaired applications,",visually impaired people, mobile application, usability dimensions, usability evaluation model.,",2020-04-07,"the usability of the mobile applications is the most important factor in developing, so the key to develop successful mobile applications is usability, especially for users have specific needs such as visually impaired. however, developers do not focus on visually impaired users. moreover, there are limited studies and usability evaluation models for mobile applications for visually impaired so developers use just a modified usability evaluation methods which are not enough and useful to evaluate mobile applications for visually impaired, or they use general usability evaluation models. therefore, using these methods or models is difficult for evaluator and not useful for visually impaired users. this study conducts systematic literature review (slr) to identify usability dimensions that help mobile applications developers and evaluators to evaluate mobile application for users which have moderate and severe visual impairment. the result shows that, six dimensions that have a significant impact on moderate and severe visually impaired users' satisfaction, who use mobile applications. these dimensions namely efficiency, effectiveness, satisfaction, errors, accessibility and understandability."
1063,analysis of adiabatic hybrid full adder and 32-bit adders for portable mobile applications,",adiabatic logic, full adder, ecrl, 2pascl, ripple carry adder(rca), carry select adder(csla), carry save adder(csa), carry skip adder(csa), brent kung adder(bka).,",2020-04-07,"in vlsi, power optimization is the main criteria for all the portable mobile applications and developments because of its impact on system performance. the performance of an adder has significant impact on overall performance of a digital system. adiabatic logic (al), a new emerging research domain for optimizing the power in vlsi circuits with high switching activity is discussed, in this paper, for implementing the adder circuits. various adiabatic logic styles full adder designs are reviewed and multiplexer based hybrid full adder topology is designed and implemented with ecrl and 2pascl al styles. moreover in this paper, 32 bit adders such as ripple carry adder (rca), carry select adder (csla), carry save adder (csa), carry skip adder (cska) and brent kung adder (bka) are realised using proposed ecrl and 2pascl adiabatic full adders. all the adders are implemented and simulated using tanner eda tool 22nm technology, parameters like power, area, delay and power delay product (pdp) of all the adders are observed at different operating frequencies, with supply voltage of 0.95 v and load capacitance of 0.5 pf. the observed parameters are compared with the existing adiabatic full adder designs and concluded that the proposed adiabatic full adders have the advantages of less power, delay and transistor count. in conclusion ecrl full adder is 31% faster, has equal pdp and less area than 2pascl full adder. at 1000mhz ecrl 32 bit carry save adder is having less delay among all the 32 bit adder and 65% less pdp than 2pascl adder and it is concluded that ecrl 32 bit carry save adder can be selected for implementation of circuits that can be used in portable mobile applications."
1064,criteria of mobile psychotherapy games for memory disorder: a systematic literature review,",alzheimers disease, dementia, elderly, game criteria, game intervention, memory disorder, mobile psychotherapy games.,",2020-04-07,"games have been widely used in many domains including medical for therapy purposes. with the advancement of technology, mobile psychotherapy games have essential role in improving memory among elderly patients. there are numbers of psychotherapy games that have been developed for elderly with memory disorder. however, at one point most of the developed games are still questionable since there is lack of game development guides for this particular purpose. designing the optimum design for the psychotherapy games, which emphasizes the users in it will be able to maximise the effectiveness of the games. thus, this study aims to review the literatures systematically in identifying the criteria for mobile psychotherapy games specifically for memory disorder. to achieve this, three databases were used in searching literatures which are scopus, web of science and acm digital library. the search identified 992 articles altogether;69 papers remains for further selection process while 909 were excluded due to irrelevancy of the focus. the selection process later refrained to 16 articles being analysed and synthesised. the selection incorporated all articles which focused directly on the psychotherapy games for memory disorder elderly patients concentrated on mobile devices. as a result, a set of important criteria for different themes on designing mobile psychotherapy game has been identified. significant features of psychotherapy games were found in majority of the reviewed articles. these criteria will be beneficial in forming a guideline for designing and developing mobile psychotherapy games for memory disorder patients."
1065,usability testing of mobile flipboard application on both non-users and novice users,",news aggregator, usability, testing, magazine, evaluation method, mobile application.,",2020-04-07,"this paper aims to discuss how journalism in a network has transformed the production and circulation of news and as gate keeping and motivation setting, from the action interdependence of ordinary people, journalists, organizations and advanced innovations (such as blogs, twitter, facebook and flipboard). finally, we analyze the interactions in the flipboard mobile app. we carried out a study consisting of 13 participants in uum sintok, they were assigned five tasks to perform and questionnaires were distributed to gather their experience with the app. the results of this study showed that participants were satisfied with the application's aesthetic but find the complexity of features provided in the application to perform various functions very frustrating to use."
1066,a real-time mobile notification system for inventory stock out detection using sift and ransac,",computer vision, inventory management, object detection and tracking, ransac, sift.,",2020-04-07,"object detection and tracking is one of the most relevant computer technologies related to computer vision and image processing. it may mean the detection of an object within a frame and classify it (human, animal, vehicle, building, etc) by the use of some algorithms. it may also be the detection of a reference object within different frames (under different angles, different scales, etc.). the applications of the object detection and tracking are numerous; most of them are in the security field. it is also used in our daily life applications, especially in developing and enhancing business management. inventory or stock management is one of these applications. it is considered to be an important process in warehousing and storage business because it allows for stock in and stock out products control. the stock-out situation, however, is a very serious issue that can be detrimental to the bottom line of any business. it causes an increased risk of lost sales as well as it leads to reduced customer satisfaction and lowered loyalty levels. on this note, a smart solution for stock-out detection in warehouses is proposed in this paper, to automate the process using inventory management software. the proposed method is a machine learning based real-time notification system using the exciting scale invariant feature transform feature detector (sift) and random sample consensus (ransac) algorithms. consequently, the comparative study shows the overall good performance of the system achieving 100% detection accuracy with features rich model and 90% detection accuracy with features poor model, indicating the viability of the proposed solution.,"
1067,culturicon design model for social mobile application,",emoticon, culture, expert review, human-computer interaction",2020-04-07,"the usage of emoticon in computer-mediated communication has been growing rapidly among users, especially in social media. emoticon has been used to express feelings, emotions, gestures, actions and places. despite the growing number of emoticon users around the world, study on the cultural elements of the emoticon is still lacking. this research aims to propose a model for the development of culturicon, which is cultural-based emoticon. in doing so, a verification process must be done to the proposed model to ensure that the model is well verified. expert review method was used for the verification method. experts from the field of human-computer interaction, user experience and cultural study especially the academicians were chosen. in addition, application developer and graphic designer also were chosen as expert from the industry. the experts were approached by email and performed the verification by answering online questionnaire provided. the result obtained from these experts were analyzed and amendment were made based from the comments and suggestions. results showed that 91% experts agreed the connections and flows of all components in the proposed model are logical and readable. expert verification is important to ensure that the model is being develop correctly. by having this model, it can aid designer and developer in designing meaningful and effective culturicon."
1068,mobile drone localization in indoor environment based on passive rfid,",rfid, indoor localization, trilateration, received signal strength.,",2020-04-07,"radio frequency identification (rfid) is an information exchange technology based on rf communication. it provides solution to track and localize mobile objects in the indoor environment. localization of mobile objects in an indoor environment garnered a significant attention due to the variety of applications needing higher degree of localization accuracy. rss-based localization techniques are the major tools for tracking applications due to their simplicity. in this paper, a trilateration method for indoor localization is proposed. this method provides a solution for the drone tracking problem by collecting the rss values between rfid tagged drone and reader, and estimate its location. the localization method is implemented in matlab by multiple readers; 4 rfid readers and 8 rfid readers. the performance of the localization method is also compared with other rfid localization previously reported in the literature. the simulation results in the case of 8 rfid readers demonstrate more accurate results than 4 rfid readers by minimizing the localization error from 0.84606 to 0.40079m. the results also indicate an improved localization performance of tracking a tagged drone in indoor environment by 42.8% when 8rfid readers are placed in the localization area.,"
1069,practicality and effectiveness test of graphic design learning media based on android,", learning media graphic design, practicality test, test effectiveness, an-droid technology",2020-03-12,"based on preliminary observations on the implementation of graphic design learning, it is indicated that it is only limited to using printed module media, lecture methods, guided practice and not yet using media with android technology. this study aims to: (1) generate a practical learning media for graphic design based on android technology. (2) producing learning media graphic design based on effective android technology. this research is a research and development. this study uses a study design development with 4d development model that consists of four main stages, namely, define (definition), design (design), develop (development), and disseminate (deployment). based on the practicality test, the practicality test value was 85%. effectiveness test of learning media for android-based graphic design shows effective results , this is also shown with a significant level of 0,000 <0.05, which means that there are significant differences between student learning outcomes before being given an android-based media ( pretest ) and learning outcomes students after being given an android-based media ( posttest ) in the informatics engineering education study program, faculty of engineering, state university of padangs.,"
1070,developing mathematics learning media based on e-learning using moodle on geometry subject to improve students' higher order thinking skills,",e-learning, moodle, mathematics education, higher-order thinking skills, addie instructional model",2020-03-12,"21st century teaching and learning strategies related to the various methods used include the use of appropriate tools with the latest technological developments to help students to understand clearly about the content of the subject. therefore, the need for the 21st century teaching more focused on the development of students' higher-order thinking skills is increasingly urgent. this study aims to develop mathematics learning media based on e-learning using moodle (modular object-oriented dynamic learning environment) software on the geometry of the flat side subject to improve higher-order thinking skills among secondary school students. the analysis in this study is based on the addie instructional model (analysis, design, development, implementation, evaluation). the respondents in this study were three lecturers who are experts in the field of mathematics education, three teachers in the field of information technology and 70 secondary school students in yogyakarta, indonesia was selected using the purposive sampling method. the findings of this study have shown that mathematics learning media based on e-learning using moodle very suitable for encouraging students to use the mind to understand, interpret, analyze and manipulate information to find possible solutions for various problems, especially related to the geometry of the flat side subject. besides, based on mathematics learning media based on e-learning using moodle able to encourage students to think, to generate new ideas, to focus and to be active throughout the teaching and learning activities. the results of this study are expected can be one of the teaching tools which can help in learning activities and a catalyst for the improvement of the quality of students' thinking.,"
1071,developing english learning materials for mechanical engineering students using padlet,",learning materials, mechanical engineering students, padlet",2020-03-12,"due to emergence of english for specific purposes where nowadays english not only a learning material for students but it has become a need for people. mechanical engineering graduates are expected to have english ability to compete in job profession. for that reason, it was important to develop english learning material based on the needs of mechanical engineering student. the aimed of this research was to develop appropriate english learning materials for the students of mechanical engineering students by using padlet. padlet is a web-based interactive application that can be used for communication among students. this research was conducted by using research and development method which involves a preliminary stage and collects information, planning, develop of product and expert validation. the research result was feasible to use based on validation step which was 80% and categorized very good. the product of this research were six units of english learning materials in the form of spoken and written texts as well as grammar explanation. the activities encourage the students to actively participate in the classroom discussion and be involved in solving the task. this research is expected to give contribution to english learning especially english for mechanical engineering students."
